-0.000322,-0.000322
0.002948,0.002948
0.002501,0.002501
-0.001911,-0.001911
-0.005374,-0.005374
0.001037,0.001037
0.007860,0.007860
0.006315,0.006315
-0.003858,-0.003858
-0.007189,-0.007189
0.000357,0.000357
0.014050,0.014050
0.017363,0.017363
0.000545,0.000545
-0.037157,-0.037157
-0.064374,-0.064374
-0.035691,-0.035691
0.078970,0.078970
0.252169,0.252169
0.422891,0.422891
0.532640,0.532640
0.566235,0.566235
0.541496,0.541496
0.501315,0.501315
0.479586,0.479586
0.487811,0.487811
0.503981,0.503981
0.509049,0.509049
0.501451,0.500808
0.489648,0.495545
0.491477,0.496478
0.504645,0.500823
0.512429,0.502323
0.507593,0.503771
0.491119,0.501838
0.482460,0.498912
0.494882,0.497914
0.512416,0.495964
0.514343,0.499337
0.490213,0.505682
0.464612,0.507698
0.490213,0.499786
0.568649,0.488618
0.642256,0.489229
0.600668,0.504023
0.355568,0.522135
-0.064311,0.508626
-0.484317,0.469939
-0.671406,0.451475
-0.490213,0.502844
-0.015006,0.594374
0.489229,0.643240
0.716880,0.560613
0.516238,0.329543
-0.000000,0.000715
-0.516238,-0.315822
-0.717523,-0.532961
-0.483333,-0.635415
0.020008,-0.657970
0.486392,-0.625696
0.661300,-0.522856
0.480495,-0.317896
0.075029,-0.015006
-0.339116,0.316912
-0.597636,0.568330
-0.658709,0.657618
-0.583655,0.593659
-0.474745,0.474745
-0.422812,0.416106
-0.468848,0.474745
-0.584370,0.587942
-0.673086,0.647062
-0.611416,0.564656
-0.326485,0.333365
0.100753,-0.000000
0.481479,-0.333365
0.621889,-0.564656
0.454470,-0.647062
0.080031,-0.587942
-0.311016,-0.474745
-0.568973,-0.416749
-0.657618,-0.468848
-0.653682,-0.588657
-0.615140,-0.661439
-0.525244,-0.579079
-0.334349,-0.314838
-0.020008,0.030726
0.331290,0.330527
0.581467,0.515139
0.650883,0.611319
0.578653,0.658684
0.480495,0.663514
0.449086,0.568330
0.486392,0.311016
0.523632,-0.080031
0.506666,-0.454470
0.462223,-0.621246
0.467864,-0.487376
0.558645,-0.105755
0.660456,0.330306
0.624553,0.620878
0.346759,0.682805
-0.095037,0.578653
-0.491197,0.448574
-0.631351,0.410318
-0.458292,0.481479
-0.075029,0.604377
0.316912,0.663514
0.568330,0.567687
0.657618,0.316912
0.653682,-0.020722
0.615140,-0.328452
0.525244,-0.525887
0.334349,-0.615140
0.020008,-0.647966
-0.331290,-0.647062
-0.581467,-0.564656
-0.650883,-0.333365
-0.578653,0.060023
-0.480495,0.473761
-0.449086,0.674437
-0.486392,0.500769
-0.523632,0.015006
-0.506666,-0.499786
-0.461580,-0.719912
-0.473761,-0.505682
-0.563647,0.004287
-0.656634,0.494035
-0.613805,0.680868
-0.348834,0.494035
0.079316,0.064311
0.478566,-0.365286
0.638425,-0.610130
0.478566,-0.646078
0.079316,-0.557931
-0.348834,-0.473761
-0.613162,-0.461580
-0.662530,-0.506666
-0.568649,-0.529348
-0.469939,-0.496948
-0.452118,-0.452118
-0.496948,-0.469939
-0.529348,-0.568649
-0.506666,-0.662530
-0.462223,-0.613162
-0.467864,-0.348834
-0.552929,0.079316
-0.649899,0.478566
-0.620878,0.638425
-0.363212,0.478566
0.080031,0.079316
0.506666,-0.348834
0.673794,-0.613162
0.473761,-0.662530
0.000000,-0.568649
-0.473761,-0.469939
-0.674437,-0.451475
-0.500769,-0.502844
-0.075029,-0.534350
0.359390,-0.502844
0.610773,-0.451475
0.646078,-0.469939
0.563647,-0.568649
0.484317,-0.662530
0.465898,-0.613162
0.484317,-0.348834
0.509341,0.079316
0.516238,0.478566
0.505309,0.639068
0.483333,0.472670
0.477900,0.074314
0.493051,-0.345012
0.514771,-0.603699
0.520060,-0.652812
0.498622,-0.574366
0.467864,-0.490213
0.462223,-0.464612
0.506666,-0.490213
0.583655,-0.508626
0.626787,-0.501860
0.558225,-0.490886
0.340099,-0.501860
0.010718,-0.508626
-0.327469,-0.490213
-0.565299,-0.464612
-0.647062,-0.490213
-0.593659,-0.574366
-0.485301,-0.652812
-0.420423,-0.603699
-0.452395,-0.345012
-0.573651,0.074314
